Ziyaret Edenin Adı Soyadı;Ziyaret Edenin Ünvanı yada Tc Kimlik Numarası;Ziyaret Tarihi;Ziyaret Saati;Ziyaret Edilenin Birimi;Ziyaret Edilenin Ünvanı;Ziyaret Edilenin Adı Soyadı;Ziyaretin Konusu
Esra Gürbüz;74859610236;20.02.2026;09:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Diyaliz su sistemi filtre değişim tutanağı ve yedek parça faturası
Fatih Yılmaz;38475619206;19.02.2026;15:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Acil servis kan gazı cihazı reaktif kit siparişi lot mutabakatı
Gizem Polat;Satınalma Memuru;19.02.2026;11:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Ameliyathane yeşil örtü ve cerrahi box önlüğü alım dosyası
Uğur Çetin;65748392016;19.02.2026;09:05;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Odyometri ses yalıtımlı kabin revizyonu doğrudan temin onayı
Asuman Koçak;92837465108;18.02.2026;14:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Hastane kreşi personel yemek giderleri bütçe aktarımı
Mert Şahin;57483920168;18.02.2026;09:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Sivil savunma sığınak havalandırma motor revizyon faturası
Seda Dağlı;48571920368;17.02.2026;16:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Bilgi işlem sunucu odası hassas klimaların bakım sözleşme yenilemesi
Kenan Aslan;29384756108;17.02.2026;11:45;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Fizik tedavi ultrason cihazı probu arızası garanti dışı tamir bedeli
Turgut Karaca;84756192034;17.02.2026;09:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Acil çıkış yönlendirme armatürleri pil değişimi malzeme faturası
Meltem Yıldız;10293847568;16.02.2026;14:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Personel giyinme odaları çelik dolap kilit yenileme işi faturası
Aykut Demir;SGK İl Müdürlüğü Uzmanı;16.02.2026;09:45;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Ocak ayı fizik tedavi ayaktan hasta fatura itiraz incelemesi
Ceren Gürbüz;37485910268;13.02.2026;15:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Jeneratör odası mazot tankı temizlik faturası ve ödeme emri
Kerem Yılmaz;58493021764;13.02.2026;10:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Günübirlik cerrahi etajer ve paravan alımı DMO üzerinden onay
Nihan Polat;19283746508;13.02.2026;09:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Merkezi sterilizasyon otoklav validasyon test kiti alımı ihalesi
Volkan Çetin;Taşınır Kayıt Sorumlusu;12.02.2026;14:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Yoğun bakım enteral beslenme solüsyonları stok durumu ve TİF girişi
Esra Şahin;74859610234;12.02.2026;09:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Evde bakım araçları kışlık lastik alımı satınalma onay belgesi
Fatih Dağlı;38475619208;11.02.2026;16:00;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Temizlik personeli yaka kartı ve boyun askısı siparişi teklifleri
Gizem Koçak;65748392018;11.02.2026;11:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Patoloji mikrotom cihazı bıçak sarf alımı açık ihale onayı
Uğur Aslan;92837465102;11.02.2026;09:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Röntgen tüpü değişimi servis formu ve gümrük vergisi ödemesi
Asuman Karaca;57483920164;10.02.2026;14:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Eczane TPN (Total Parenteral Nütrisyon) cihazı set faturası
Mert Yıldız;48571920364;10.02.2026;09:05;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Acil servis defibilatör kaşık bataryası doğrudan temin faturası
Seda Demir;Biyomedikal Cihaz Tek.;9.02.2026;15:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;C-Kollu skopi cihazı radyasyon sızıntı ölçüm testi hakedişi
Kenan Gürbüz;29384756104;9.02.2026;11:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Asansör bakım onarım aylık sözleşme hakediş dosyasının incelenmesi
Turgut Yılmaz;84756192038;9.02.2026;09:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Ameliyathane tavan lambası ampul yenileme sipariş teslimi
Meltem Polat;10293847562;6.02.2026;14:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Mutfak bulaşıkhane sanayi tipi bulaşık makinesi deterjan alımı
Aykut Çetin;37485910264;6.02.2026;09:45;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Morg ünitesi cenaze yıkama masası gider açıcı kimyasal alımı
Ceren Dağlı;İdari Hizmetler Şefi;5.02.2026;16:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Santral operatörleri mesai saatleri dışı nöbet ücretleri itirazı
Kerem Aslan;58493021768;5.02.2026;13:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Endoskopi yıkama cihazı enzimatik solüsyon alımı teklif dosyası
Nihan Şahin;19283746502;5.02.2026;09:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Acil servis taşıma sedyesi hidrolik motor tamiratı ödeme emri
Volkan Demir;74859610236;4.02.2026;14:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Diş polikliniği aeratör başlık arızaları ve yedek parça onayı
Esra Koçak;38475619204;4.02.2026;09:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Güvenlik kameraları (CCTV) harddisk depolama alanı genişletme ihalesi
Fatih Karaca;Mutemet;3.02.2026;15:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Ocak ayı doktor döner sermaye tavan ek ödemelerinin bankaya iletilmesi
Gizem Yıldız;65748392014;3.02.2026;11:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Laboratuvar pnömatik tüp taşıma sistemi bakım onarım faturası
Uğur Gürbüz;92837465106;3.02.2026;09:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Çamaşırhane çamaşır arabası (tekerlekli) teker arızaları onarım alımı
Asuman Yılmaz;57483920168;2.02.2026;14:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Yeni MR cihazı kurulumu zemin güçlendirme projesi maliyet onayı
Mert Polat;48571920362;2.02.2026;09:05;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Hasta odaları refakatçi koltuğu döşeme yenileme hakediş dosyası
Seda Çetin;29384756106;30.01.2026;16:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Yemekhane sözleşmesi yıl sonu enflasyon farkı hakediş düzenlemesi
Kenan Dağlı;84756192032;30.01.2026;13:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Göz polikliniği otorefraktometre cihazı yedek parça sipariş formu
Turgut Aslan;Satınalma Şefi;30.01.2026;09:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Tıbbi sarf malzeme ihale komisyonu kesin kararlarının imzalanması
Meltem Şahin;10293847566;29.01.2026;15:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Poliklinik sekreter bilgisayarları klavye ve mouse toptan alımı
Aykut Demir;37485910268;29.01.2026;09:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Jeneratör odası mazot tankı temizlik faturası ve ödeme emri
Ceren Koçak;58493021762;28.01.2026;14:45;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Ameliyathane hepa filtreleri firma hakediş dosyası onayı
Kerem Karaca;19283746504;28.01.2026;11:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Temizlik personeli ocak ayı maaş avans talepleri değerlendirmesi
Nihan Yıldız;74859610238;28.01.2026;09:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Laboratuvar kitleri DMO sipariş onayı ve ödenek tahsisi
Volkan Gürbüz;Fatura Servis Şefi;27.01.2026;15:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Yoğun bakım yatış faturalarındaki SGK MEDULA kesinti itirazları
Esra Yılmaz;38475619208;27.01.2026;09:05;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Hastane bahçe peyzaj ve budama hizmeti faturası
Fatih Polat;65748392012;26.01.2026;16:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Otopark bariyer sistemleri HGS entegrasyonu yazılım fatura onayı
Gizem Çetin;92837465104;26.01.2026;13:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Yeni atanan hekim odaları ofis mobilyası doğrudan temini
Uğur Dağlı;57483920162;26.01.2026;09:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Acil servis döner sermaye ödeneklerinin mutabakatı
Asuman Aslan;Ayniyat Saymanı;23.01.2026;14:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Yılsonu MKYS (Malzeme Kaynak Yönetim Sistemi) devir işlemleri
Mert Şahin;48571920368;23.01.2026;09:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Çamaşırhane yıkama kimyasalları sipariş teyidi
Seda Demir;29384756108;22.01.2026;15:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Güvenlik kameraları (CCTV) harddisk depolama alanı genişletme ihalesi
Kenan Koçak;84756192036;22.01.2026;11:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Diş röntgen (panoramik) cihazı kurşun yelek yenileme fiyat araştırması
Turgut Karaca;10293847564;22.01.2026;09:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Engelli tuvaletleri acil çağrı sistemi buton onarım malzemeleri alımı
Meltem Yıldız;37485910266;21.01.2026;14:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Acil servis kan gazı cihazı reaktif kit siparişi
Aykut Gürbüz;Tıbbi Atık Firma Yön.;21.01.2026;09:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Enfekte atık tartım fişleri mutabakatı ve fatura kesimi
Ceren Yılmaz;58493021766;20.01.2026;16:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Poliklinik hasta yönlendirme monitörlerinin HDMI kablo alımı
Kerem Polat;19283746506;20.01.2026;13:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Yemekhane soğuk hava deposu kompresör arızası faturası
Nihan Çetin;74859610232;20.01.2026;09:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Laboratuvar otomasyon (LIS) sunucu lisans yenileme sözleşmesi
Volkan Dağlı;38475619206;19.01.2026;15:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Morg soğutucu ünitelerinin yedek parça temin faturası onayı
Esra Aslan;İnsan Kaynakları Uzmanı;19.01.2026;09:05;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Emekliye ayrılan personelin kıdem tazminatı hesaplama ve onayı
Fatih Şahin;65748392016;16.01.2026;14:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Kantin kira sözleşmesi yıllık TÜFE artış oranının tebliği
Gizem Demir;92837465108;16.01.2026;11:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Merkezi sterilizasyon buhar jeneratörü emniyet valfi doğrudan alımı
Uğur Koçak;57483920166;16.01.2026;09:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Hastane jeneratörleri periyodik yük testi hizmeti teklif değerlendirmesi
Asuman Karaca;29384756102;15.01.2026;15:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Acil tıp uzmanları icap nöbeti şikayetleri puantaj düzenlemesi
Mert Yıldız;Biyomedikal Mühendisi;15.01.2026;09:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Hurdaya ayrılan monitörlerin HEK raporu onayı
Seda Gürbüz;84756192038;14.01.2026;16:00;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Personel kreşi boya badana malzemesi satın alma dosyası
Kenan Yılmaz;10293847564;14.01.2026;13:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Diş protez laboratuvarı zirkonyum blok sarf alımı fiyat araştırması
Turgut Polat;37485910262;14.01.2026;09:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Yenidoğan işitme tarama cihazı kalibrasyon faturası
Meltem Çetin;Mutemet;13.01.2026;14:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Doktor dışı sağlık personeli nöbet ücretleri banka listesi onayı
Aykut Dağlı;58493021768;13.01.2026;09:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;İnternet altyapısı switch dolapları fan soğutucu faturası
Ceren Aslan;19283746504;12.01.2026;15:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Ameliyathane tavan lambası ampul yenileme sipariş teslimi
Kerem Şahin;74859610234;12.01.2026;11:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Radyoloji PACS sistemi sunucu lisans yenileme sözleşmesi
Nihan Demir;38475619202;12.01.2026;09:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Kızılay kan merkezi kan tedarik faturalarının mutabakatı
Volkan Koçak;65748392018;9.01.2026;14:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Poliklinik sekreter bilgisayarları barkod okuyucu yedek parça alımı
Esra Karaca;İSG Uzmanı;9.01.2026;09:05;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;İş sağlığı güvenliği risk analizi yazılımı yıllık lisans bedeli onayı
Fatih Yıldız;92837465104;8.01.2026;16:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Çatı izolasyon onarım işi kesin kabul tutanağı
Gizem Gürbüz;57483920162;8.01.2026;13:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Tıbbi mümessil bağışları kapsamında cihaz kabul ve zimmet işlemleri
Uğur Yılmaz;48571920368;8.01.2026;09:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Temizlik hizmetleri taşeron firma aralık ayı hakediş faturası
Asuman Polat;29384756106;7.01.2026;15:10;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Fiziksel tıp ünitesi rehabilitasyon yatakları mekanik kol arıza faturası
Mert Çetin;Döner Sermaye Saymanı;7.01.2026;09:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Aralık ayı tabip dışı personel döner sermaye ek ödeme mutabakatı
Seda Dağlı;84756192032;6.01.2026;14:20;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Medikal oksijen tüpü dolum anlaşması aralık ayı faturası
Kenan Aslan;10293847568;6.01.2026;11:40;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Acil servis kan alma tüplerindeki üretim hatası kaynaklı iade
Turgut Şahin;37485910264;6.01.2026;09:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Durmuş TEMEL;Hastane dışı görevlendirme harcırah evrakları
Meltem Demir;E-Nabız Koordinatörü;5.01.2026;15:50;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Yasemin ŞAHİN;Veri gönderim hatalarından kaynaklanan bakanlık bütçe kesintisi
Aykut Koçak;58493021762;5.01.2026;09:30;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd. Yrd.;Celal YARDIMCI;Poliklinik sıramatik kağıtları ve toner sarf malzemesi ihale onayı
Ceren Karaca;19283746508;2.01.2026;14:15;İdari ve Mali Hizmetler;İdari ve Mali Hiz. Müd.;Mehmet Emin KILIÇ;Yeni yıl bütçe planlaması ve 1. çeyrek ihale takvimi onayı
